,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
42730|KLF6,0.936374645102426,Homo sapiens,KLF6,tf,LoVo,None,Colon,0,KLF6
77239|ZSCAN5B,0.936679392250614,Homo sapiens,ZSCAN5B,tf,HEK293,HEK 293 Cell Line,None,0,ZSCAN5B
38822|HOXA7,0.936695495246456,Homo sapiens,HOXA7,tf,LoVo,None,Colon,0,HOXA7
77142|ZNF300,0.936788063648038,Homo sapiens,ZNF300,other,293T,None,None,1,ZNF300
77158|ZNF222,0.936839646774047,Homo sapiens,ZNF222,other,293T,None,None,1,ZNF222
51565|SMAD2/3,0.937026079336887,Homo sapiens,SMAD2/3,tf,HUES64,Embryonic Stem Cell,Embryo,0,SMAD2/3
42691|MAFB,0.937049586182939,Homo sapiens,MAFB,tf,LoVo,None,Colon,0,MAFB
77046|ZNF764,0.937270623382518,Homo sapiens,ZNF764,tf,293T,None,None,0,ZNF764
77190|ZFP1,0.937284995812808,Homo sapiens,ZFP1,tf,293T,None,None,1,ZFP1
52785|CIITA,0.937304348868142,Homo sapiens,CIITA,predicted transcription factor,Raji,B Lymphocyte,Blood,1,CIITA
62811|COPS2,0.937315957763027,Homo sapiens,COPS2,,K562,Erythroblast,Bone Marrow,1,COPS2
69877|CCR5,0.937344890113213,Homo sapiens,CCR5,other,None,Th1,None,1,CCR5
38780|LMX1B,0.937347216441537,Homo sapiens,LMX1B,tf,LoVo,None,Colon,0,LMX1B
38683|MAZ,0.937386800470845,Homo sapiens,MAZ,tf,LoVo,None,Colon,0,MAZ
50456|AUTS2,0.937392597878291,Homo sapiens,AUTS2,not sure,293T-Rex,None,None,1,AUTS2
35879|CBX1,0.937405271487869,Homo sapiens,CBX1,cr,HEK293,Epithelium,Embryonic Kidney,1,CBX1
42767|ID2,0.937483592455278,Homo sapiens,ID2,tf,LoVo,None,Colon,0,ID2
68571|POU3F2,0.937786686134119,Homo sapiens,POU3F2,tf,None,Neural Progenitor Cell,None,1,POU3F2
42660|FOXQ1,0.937803265563605,Homo sapiens,FOXQ1,tf,LoVo,None,Colon,0,FOXQ1
68194|ATRX,0.93785935595182,Homo sapiens,ATRX,cr,LAN6,None,None,1,ATRX
77040|ZNF782,0.937861688600595,Homo sapiens,ZNF782,tf,293T,None,None,0,ZNF782
63179|IKZF1,0.93796993417934,Homo sapiens,IKZF1,tf,HepG2,Epithelium,Liver,1,IKZF1
65181|ZNF250,0.938295150006277,Homo sapiens,ZNF250,tf,HEK293,Epithelium,Embryonic Kidney,1,ZNF250
75293|POLR3G,0.938353006809459,Homo sapiens,POLR3G,tf,NT2-D1,Stem cell,None,1,POLR3G
36237|XRN2,0.938541233544064,Homo sapiens,XRN2,not sure,HeLa,Epithelium,Cervix,0,XRN2
77136|ZNF334,0.938702452213234,Homo sapiens,ZNF334,tf,293T,None,None,1,ZNF334
65067|ZNF547,0.938923840412081,Homo sapiens,ZNF547,,HEK293,Epithelium,Embryonic Kidney,1,ZNF547
77089|ZNF562,0.939074866703328,Homo sapiens,ZNF562,tf,293T,None,None,1,ZNF562
35703|UBE2I,0.939084302567733,Homo sapiens,UBE2I,other,WI-38,Fibroblast,Lung,0,UBE2I
42726|IRF2,0.939316570362399,Homo sapiens,IRF2,predicted transcription factor,LoVo,None,Colon,0,IRF2
73938|ZNF584,0.939335428137254,Homo sapiens,ZNF584,,293T,None,None,1,ZNF584
77163|ZNF19,0.939549335075461,Homo sapiens,ZNF19,tf,293T,None,None,1,ZNF19
56282|BRD1,0.939616459037999,Homo sapiens,BRD1,cr,HEK293T,Epithelium,Embryonic Kidney,0,BRD1
77189|ZFP69,0.939818756290338,Homo sapiens,ZFP69,tf,293T,None,None,1,ZFP69
70543|VDR,0.939891942627756,Homo sapiens,VDR,tf,THP-1,Macrophage,None,1,VDR
64675|IRF1,0.940192436333459,Homo sapiens,IRF1,tf,K562,Erythroblast,Bone Marrow,1,IRF1
64376|TBX21,0.940376834140654,Homo sapiens,TBX21,tf,GM12878,B Lymphocyte,Blood,1,TBX21
77035|ZNF790,0.940631085848321,Homo sapiens,ZNF790,tf,293T,None,None,0,ZNF790
1230|GTF3C1,0.940657042957223,Homo sapiens,GTF3C1,tf,HeLa,Epithelium,Cervix,0,GTF3C1
77115|ZNF45,0.94079397978254,Homo sapiens,ZNF45,other,293T,None,None,0,ZNF45
42697|NEUROD2,0.94091330910328,Homo sapiens,NEUROD2,tf,LoVo,None,Colon,0,NEUROD2
50249|CTBP2,0.940920140058354,Homo sapiens,CTBP2,tf,LNCaP,Epithelium,Prostate,1,CTBP2
38798|ZBED4,0.940954028266179,Homo sapiens,ZBED4,tf,LoVo,None,Colon,0,ZBED4
42690|LHX6,0.941171049658919,Homo sapiens,LHX6,tf,LoVo,None,Colon,0,LHX6
38821|HIVEP1,0.941453438450924,Homo sapiens,HIVEP1,tf,LoVo,None,Colon,0,HIVEP1
42867|SKI,0.941608572065601,Homo sapiens,SKI,predicted chromatin regulator,LoVo,None,Colon,0,SKI
65089|ZNF136,0.941738551395134,Homo sapiens,ZNF136,,HEK293,Epithelium,Embryonic Kidney,1,ZNF136
8552|PCGF2,0.941907192354445,Homo sapiens,PCGF2,cr,HEK293T,Epithelium,Embryonic Kidney,0,PCGF2
74646|TSC22D4,0.94199740783261,Homo sapiens,TSC22D4,,GM12878,B Lymphocyte,Blood,1,TSC22D4
76888|TERT,0.942034336618308,Homo sapiens,TERT,other,VA13,Fibroblast,Lung,1,TERT
42701|NKX6-1,0.942049020230698,Homo sapiens,NKX6-1,tf,LoVo,None,Colon,0,NKX6-1
77132|ZNF354B,0.942134472704039,Homo sapiens,ZNF354B,tf,293T,None,None,1,ZNF354B
67684|ZBTB7A,0.942145569914228,Homo sapiens,ZBTB7A,predicted transcription factor,None,Erythroblast,None,0,ZBTB7A
42831|HAND1,0.942289262288937,Homo sapiens,HAND1,not sure,LoVo,None,Colon,0,HAND1
38652|NR2F2,0.942376259516826,Homo sapiens,NR2F2,tf,LoVo,None,Colon,0,NR2F2
46251|MBD4,0.942416534947924,Homo sapiens,MBD4,cr,HepG2,Epithelium,Liver,1,MBD4
77066|ZNF671,0.942447795772164,Homo sapiens,ZNF671,tf,293T,None,None,1,ZNF671
55211|MAPK1,0.942656113795901,Homo sapiens,MAPK1,predicted chromatin regulator,HeLa,Epithelium,Cervix,1,MAPK1
69821|MDM2,0.942913837855102,Homo sapiens,MDM2,cr,H1299,Epithelium,Lung,1,MDM2
65212|ZNF513,0.943042962416522,Homo sapiens,ZNF513,,HEK293,Epithelium,Embryonic Kidney,1,ZNF513
45247|SIRT6,0.943130317730116,Homo sapiens,SIRT6,cr,H1,Embryonic Stem Cell,Embryo,0,SIRT6
36113|FANCD2,0.943289930232675,Homo sapiens,FANCD2,predicted chromatin regulator,HEK293T,Epithelium,Embryonic Kidney,0,FANCD2
38834|SP3,0.943388627434292,Homo sapiens,SP3,tf,LoVo,None,Colon,0,SP3
42666|HIVEP3,0.94339502267439,Homo sapiens,HIVEP3,tf,LoVo,None,Colon,0,HIVEP3
77079|ZNF605,0.943483531944153,Homo sapiens,ZNF605,other,293T,None,None,1,ZNF605
77105|ZNF496,0.943528381214213,Homo sapiens,ZNF496,tf,293T,None,None,0,ZNF496
72433|SMARCA2,0.943566333416015,Homo sapiens,SMARCA2,cr,LNCaP,Epithelium,Prostate,0,SMARCA2
68064|POLR3D,0.943687526773123,Homo sapiens,POLR3D,tf,IMR90hTert,Fibroblast,Fetal Lung,1,POLR3D
56960|GTF2B,0.9437728200045,Homo sapiens,GTF2B,tf,HeLa,Epithelium,Cervix,0,GTF2B
62966|HDGF,0.943933604831513,Homo sapiens,HDGF,,MCF-7,Epithelium,Breast,1,HDGF
54657|TLX1,0.944056896084348,Homo sapiens,TLX1,tf,ALL-SIL,T Lymphocyte,Blood,1,TLX1
77141|ZNF302,0.944083417373506,Homo sapiens,ZNF302,tf,293T,None,None,1,ZNF302
77153|ZNF25,0.944147195536908,Homo sapiens,ZNF25,tf,293T,None,None,0,ZNF25
77073|ZNF619,0.944448424218617,Homo sapiens,ZNF619,tf,293T,None,None,0,ZNF619
8673|STAG1,0.944680915149485,Homo sapiens,STAG1,not sure,None,Fibroblast,Embryo,0,STAG1
73923|ZNF8,0.944855022386872,Homo sapiens,ZNF8,,293T,None,None,0,ZNF8
42700|NKX2-8,0.944873932593682,Homo sapiens,NKX2-8,tf,LoVo,None,Colon,0,NKX2-8
42645|BARX1,0.945130608058112,Homo sapiens,BARX1,tf,LoVo,None,Colon,0,BARX1
34479|NFKBIA,0.945399474551132,Homo sapiens,NFKBIA,other,None,Keratinocyte,Foreskin,0,NFKBIA
77188|ZFP90,0.945425587151964,Homo sapiens,ZFP90,tf,293T,None,None,1,ZFP90
77038|ZNF785,0.945444983789783,Homo sapiens,ZNF785,tf,293T,None,None,0,ZNF785
42888|ZNF395,0.94549732140658,Homo sapiens,ZNF395,predicted transcription factor,LoVo,None,Colon,0,ZNF395
50250|CTBP1,0.94556927455305,Homo sapiens,CTBP1,tf,LNCaP,Epithelium,Prostate,1,CTBP1
38646|ELF3,0.945791982302277,Homo sapiens,ELF3,tf,LoVo,None,Colon,0,ELF3
55206|EGFR,0.945832779459037,Homo sapiens,EGFR,not sure,HeLa,Epithelium,Cervix,1,EGFR
77021|ZNF880,0.945838580467503,Homo sapiens,ZNF880,other,293T,None,None,0,ZNF880
